50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,1.115516,,,,,,,,,,,,,,a1fd0b2e-f19b-41c1-8bfe-fab7673171e1,3517,,"[30.9, 1.1]",69308,78,,,,,1.2833834,,Left Foot,,,,"[35.6, 17.0]",,Ground Pass,,16.580109,,,,Bruno Soriano Llido,,,,,,2,Regular Play,Joan Capdevila Méndez,20134.0,Left Back,179,Villarreal,222,"['91e411a2-ec87-4585-b816-88970fd52da7', 'a49ce61e-01aa-4e5e-a167-a022bca96acd']",27,,,,,,,,,,,,,,,Villarreal,222,00:33:27.822,Pass,True,30.9,1.1,35.6,17.0,2,0,3,1,0.008449,0.010595,0.0021460000000000003,0.0021460000000000003,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.748957,,,,,,,,,,,,,,a7909208-ada3-4ca5-9b5b-85ddd4248474,3520,,"[35.6, 18.6]",69308,78,,,,,1.6072385,,Left Foot,,,,"[34.9, 37.8]",,Ground Pass,,19.212757,,,,Marcos Antonio Senna da Silva,,,,,,2,Regular Play,Bruno Soriano Llido,22819.0,Left Defensive Midfield,179,Villarreal,222,['81a5e584-127c-405c-b749-94c75c6b51e3'],30,,,,,,,,,,,,,,,Villarreal,222,00:33:30.597,Pass,,35.6,18.6,34.9,37.8,3,1,3,3,0.010595,0.011324,0.0007290000000000005,0.0007290000000000005,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,2.4657,,,,,,,,,,,,,,41179229-7fc3-4fc3-8054-7fac1e60ed12,3523,,"[34.9, 37.8]",69308,78,,,,,1.1176746,,Right Foot,,,,"[53.5, 76.0]",,Ground Pass,,42.487644,,,,Jefferson Antonio Montero Vite,,,,,,2,Regular Play,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,179,Villarreal,222,['70370ba4-5ba7-4aa3-a9a7-d615261075ff'],33,,,,,,,,,,,,,,,Villarreal,222,00:33:33.647,Pass,,34.9,37.8,53.5,76.0,3,3,5,7,0.011324,0.012483,0.0011589999999999986,0.0011589999999999986,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.5942,,,,,,,,,,,,,,2d60ab99-15cf-4813-a733-740a9e6afcb2,3529,,"[68.0, 80.0]",69308,78,,,,,-0.15130116,,,,,,"[90.3, 76.6]",,High Pass,,22.557703,,Incomplete,,Nilmar Honorato da Silva,,,,,Throw-in,2,From Throw In,Ángel Domingo López Ruano,25984.0,Right Back,180,Villarreal,222,"['156bcf22-400f-4305-ba11-7d5fc20954dd', '2c3065f3-3eb5-4003-a837-8d07c7754990']",52,,,,,,,,,,,,,,,Villarreal,222,00:33:52.786,Pass,,68.0,80.0,90.3,76.6,6,7,9,7,0.014736,0.027563,0.012827,0.012827,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.974159,,,,,,,,,,,,,,156bcf22-400f-4305-ba11-7d5fc20954dd,3531,,"[30.7, 4.4]",69308,78,,,,,0.6998929,,Head,,,,"[32.6, 6.0]",,Low Pass,,2.4839485,,,,Maxwell Scherrer Cabelino Andrade,,,,,Recovery,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,180,Villarreal,222,"['2d60ab99-15cf-4813-a733-740a9e6afcb2', 'c6812981-baa7-4b86-8800-c5370da49a76']",54,,,,,,,,,,,,,,,Barcelona,217,00:33:54.380,Pass,,30.7,4.4,32.6,6.0,2,0,3,0,0.008449,0.009777,0.0013279999999999993,0.0013279999999999993,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.782101,,,,,,,,,,,,,,3b69b4f2-ff58-4a83-91d9-d1a8f73405e7,3534,,"[32.6, 6.0]",69308,78,,,,,-0.015562946,,Left Foot,,,,"[58.3, 5.6]",,High Pass,,25.703114,,Incomplete,,Andrés Iniesta Luján,,,,,,2,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,180,Villarreal,222,"['4ca45b2e-f43d-49b1-8ce0-b118c2304510', '9aceab32-c28f-419e-b10f-d294e86e6a0d']",55,,,,,,,,,,,,,,,Barcelona,217,00:33:55.394,Pass,,32.6,6.0,58.3,5.6,3,0,5,0,0.009777,0.012483,0.002706,0.002706,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.148199,,,,,,,,,,,,,,9aceab32-c28f-419e-b10f-d294e86e6a0d,3536,,"[62.7, 75.4]",69308,78,,,,,-1.4045595,,Head,,,,"[65.2, 60.5]",,Low Pass,,15.108275,,,,Bruno Soriano Llido,,,,,Recovery,2,From Throw In,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,180,Villarreal,222,"['3b69b4f2-ff58-4a83-91d9-d1a8f73405e7', 'ce395fcd-85ef-4314-8ec8-0c24f5cd5f97']",57,,,,,,,,,,,,,,,Villarreal,222,00:33:57.176,Pass,,62.7,75.4,65.2,60.5,6,7,6,6,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.9402,,,,,,,,,,,,,,216b638b-1e25-4753-b303-0627e58dc4ef,3539,,"[63.1, 60.7]",69308,78,,,,,3.009041,,Left Foot,,,,"[51.1, 62.3]",,Ground Pass,,12.106196,,,,Carlos Marchena López,,,,,,2,From Throw In,Bruno Soriano Llido,22819.0,Left Defensive Midfield,180,Villarreal,222,['0ae8aee1-9311-44c3-9980-2ba0b0939ffd'],59,,,,,,,,,,,,,,,Villarreal,222,00:33:59.307,Pass,,63.1,60.7,51.1,62.3,6,6,5,6,0.016118,0.013845,-0.0022730000000000007,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.886401,,,,,,,,,,,,,,347ae245-080f-4d77-97ab-34237748d306,3541,,"[51.1, 62.3]",69308,79,,,,,0.62117624,,Right Foot,,,,"[61.3, 69.6]",,Ground Pass,,12.543125,,,,Marcos Antonio Senna da Silva,,,,,,2,From Throw In,Carlos Marchena López,20127.0,Right Center Back,180,Villarreal,222,['3a65c662-8e38-43f2-8a55-476e9e03bde2'],0,,,,,,,,,,,,,,,Villarreal,222,00:34:00.247,Pass,,51.1,62.3,61.3,69.6,4,6,6,6,0.012147,0.016118,0.003971000000000001,0.003971000000000001,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.2115,,,,,,,,,,,,,,7683e278-ad53-4410-bf0f-d31b631e28e3,3544,,"[64.1, 68.4]",69308,79,,,,,0.08865588,,Right Foot,,,,"[77.6, 69.6]",,Ground Pass,,13.553228,,,,Nilmar Honorato da Silva,,,,,,2,From Throw In,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,180,Villarreal,222,['b84b2938-bc9b-4dcc-9066-9e7eddd58ac0'],3,,,,,,,,,,,,,,,Villarreal,222,00:34:03.655,Pass,,64.1,68.4,77.6,69.6,6,6,7,6,0.016118,0.018703,0.0025850000000000005,0.0025850000000000005,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
