50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.688125,,,,,,,,,,,,,,,8f5da710-b8a4-4ead-a736-f2f3e51c2618,430,,"[44.9, 34.4]",69305,7,,,,,2.8151252,,Right Foot,,,,"[32.2, 38.7]",,Ground Pass,,13.408206,,,,Gabriel Alejandro Milito,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,20,Barcelona,217,['9c3c483a-7c11-40cd-8959-346873e1b945'],29,,,,,,,,,,,,,,,Barcelona,217,00:07:29.778,Pass,,44.9,34.4,32.2,38.7,4,3,2,3,0.012626,0.010165,-0.0024609999999999996,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.628851,,,,,,,,,,,,,,,d7d6c861-782e-4e25-bae3-9f72d5a10636,433,,"[52.3, 20.2]",69305,7,,,,,-1.0338856,,Right Foot,,,,"[62.3, 3.4]",,Ground Pass,,19.550959,,,,Maxwell Scherrer Cabelino Andrade,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,20,Barcelona,217,['f84e6c3d-edbc-466e-a445-6299ec22557a'],37,,,,,,,,,,,,,,,Barcelona,217,00:07:37.831,Pass,,52.3,20.2,62.3,3.4,5,1,6,0,0.013845,0.014736,0.0008910000000000012,0.0008910000000000012,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.520903,,,,,,,,,,,,,,,32152969-a313-4d57-ab06-ee0200ddd2bc,436,,"[56.1, 3.1]",69305,7,,,,,1.9648842,,Left Foot,,,,"[51.9, 13.2]",,Ground Pass,,10.938464,,,,Gabriel Alejandro Milito,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,20,Barcelona,217,['5a69df51-53f7-453b-a747-ec4c65a1f3c3'],40,,,,,,,,,,,,,,,Barcelona,217,00:07:40.492,Pass,,56.1,3.1,51.9,13.2,5,0,4,1,0.012483,0.012147,-0.0003359999999999995,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.986453,,,,,,,,,,,,,,,105eeb00-e290-4795-b1a3-2377243bf28b,439,,"[51.9, 13.2]",69305,7,,,,,0.8419416,,Left Foot,,,,"[59.4, 21.6]",,Ground Pass,,11.260995,,,,Thiago Alcântara do Nascimento,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,20,Barcelona,217,['82fe7e74-a7c6-461d-a8f6-00ea89bb64aa'],42,,,,,,,,,,,,,,,Barcelona,217,00:07:42.497,Pass,,51.9,13.2,59.4,21.6,5,1,5,2,0.013845,0.014291,0.0004460000000000002,0.0004460000000000002,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,2.950393,,,,,,,,,,,,,,,3c788a43-3abb-4e4f-9119-496ff275538e,442,,"[60.1, 20.4]",69305,7,,,,,-3.125969,,Right Foot,,,,"[34.5, 20.0]",,Low Pass,,25.603125,,,,Javier Alejandro Mascherano,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,20,Barcelona,217,['ede64aa8-fa75-4cfe-bbf8-b2c88740ee0c'],43,,,,,,,,,,,,,,,Barcelona,217,00:07:43.563,Pass,,60.1,20.4,34.5,20.0,5,1,3,1,0.013845,0.010595,-0.0032499999999999994,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,2.11539,,,,,,,,,,,,,,,9f6d40c1-28ce-457a-b9c7-7c79efb3696d,445,,"[32.5, 21.0]",69305,7,,,,,-1.012197,,Right Foot,,,,"[43.5, 3.4]",,Ground Pass,,20.754759,,,,Maxwell Scherrer Cabelino Andrade,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,20,Barcelona,217,['f87f54b3-2f2b-4a69-8b67-9549eb79fcc8'],47,,,,,,,,,,,,,,,Barcelona,217,00:07:47.221,Pass,,32.5,21.0,43.5,3.4,3,2,4,0,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.012,,,,,,,,,,,,,,,fb7cda20-f5c0-448d-9aef-3c9a319881cd,448,,"[55.0, 10.0]",69305,7,,,,,0.28330797,,Left Foot,,,,"[78.7, 16.9]",,Ground Pass,,24.684004,,Incomplete,,Andrés Iniesta Luján,,,Through Ball,True,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,20,Barcelona,217,"['65691643-c5b8-4cf2-a777-712b7fbdc7d0', 'ab34d83b-ab49-4b6c-b862-7b75d0dfca99']",51,,,,,,,,,,,,,,,Barcelona,217,00:07:51.614,Pass,,55.0,10.0,78.7,16.9,5,0,7,1,0.012483,0.018703,0.006220000000000002,0.006220000000000002,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.6059,,,,,,,,,,,,,,,4ffb0d84-23c4-4367-ba24-943ef5d853b5,453,,"[40.5, 71.4]",69305,7,,,,,-0.6391627,,Right Foot,,,,"[47.9, 65.9]",,Ground Pass,,9.220087,,,,Juan Jesús Gutiérrez Robles,,,,,Recovery,1,Regular Play,Marcelo Andrés Silva Fernández,16688.0,Right Center Back,21,Almería,403,"['29b31579-ba3e-4a45-b58a-3e1df693d59d', 'e86f9711-6f49-42df-a464-84d04291718a']",56,,,,,,,,,,,,,,,Almería,403,00:07:56.314,Pass,True,40.5,71.4,47.9,65.9,3,7,4,6,0.009777,0.012147,0.0023700000000000006,0.0023700000000000006,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.3745,,,,,,,,,,,,,,,ddb876ca-f061-4472-9d51-a07588b8c0e0,456,,"[47.9, 65.9]",69305,7,,,,,0.912371,,Right Foot,,,,"[56.1, 76.5]",,Ground Pass,,13.401492,,,,Albert Crusat Domene,,,,,,1,Regular Play,Juan Jesús Gutiérrez Robles,25883.0,Left Defensive Midfield,21,Almería,403,['d1e11265-43f9-4bd4-af04-8d3e5a59e2ba'],57,,,,,,,,,,,,,,,Almería,403,00:07:57.418,Pass,,47.9,65.9,56.1,76.5,4,6,5,7,0.012147,0.012483,0.0003359999999999995,0.0003359999999999995,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.337,,,,,,,,,,,,,,,aa369528-d5c2-4bdf-a430-043bbaca419a,460,,"[53.7, 75.9]",69305,7,,,,,2.4980915,,Right Foot,,,,"[50.5, 78.3]",,Ground Pass,,4.0,,,,Míchel Macedo Rocha Machado,,,,,,1,Regular Play,Albert Crusat Domene,26437.0,Left Wing,21,Almería,403,"['00b2d99c-1198-41e8-a0ae-bee4dee4c899', 'b79d44c0-2444-4a6e-9574-a81bf61066a7']",59,,,,,,,,,,,,,,,Almería,403,00:07:59.686,Pass,True,53.7,75.9,50.5,78.3,5,7,4,7,0.012483,0.011263,-0.0012199999999999989,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
