ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,1.4354,,,,,,,,,,,,,cd91e682-6ce2-4fca-bda6-0d92237ff0e3,670,,"[75.8, 49.5]",69278,10,,,,1.1989949,,Right Foot,,,"[82.0, 65.4]",,Ground Pass,,17.066048,,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,21,Barcelona,217,['a9cb0957-b3ba-4f0a-859c-470432135334'],45,,,,,,,,,,,,,,,,Barcelona,217,00:10:45.757,Pass,,75.8,49.5,82.0,65.4,7,4,8,6,0.019971,0.024015,0.0040440000000000025,0.0040440000000000025,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.9427,,,,,,,,,,,,,a0e7a0c9-5568-4d30-87c3-dcf9791ed346,673,,"[90.5, 60.6]",69278,10,,,,-1.6879051,,Left Foot,,,"[89.3, 50.4]",,Ground Pass,,10.270346,,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,21,Barcelona,217,['d4e97148-4925-4544-894a-8e14948acb1a'],49,,,,,,,,,,,,,,,,Barcelona,217,00:10:49.213,Pass,,90.5,60.6,89.3,50.4,8,6,8,5,0.024015,0.024122,0.00010699999999999946,0.00010699999999999946,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.4976,,,,,,,,,,,,,4a7670f6-5429-43cf-b657-a3a4a8ee44a2,676,,"[89.1, 51.6]",69278,10,,,,0.23161642,,Right Foot,,,"[99.7, 54.1]",,Ground Pass,,10.890821,,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,21,Barcelona,217,['90f13a22-549c-408a-871f-5d27bb74ce0a'],50,,,,,,,,,,,,,,,,Barcelona,217,00:10:50.156,Pass,,89.1,51.6,99.7,54.1,8,5,9,5,0.024122,0.028552,0.00443,0.00443,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.9752,,,,,,,,,,,,,a381ba57-1713-48c0-b7a1-a0bd662d124a,680,,"[99.9, 54.1]",69278,10,,,,-2.2124557,,Left Foot,,,"[93.4, 45.4]",,Ground Pass,,10.860019,,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,21,Barcelona,217,"['6213e2a0-8265-4ef6-a6e7-7eb2a559e801', '81f07087-3727-4904-9dc1-4b989aba01c4']",51,,,,,,,,,,,,,,,,Barcelona,217,00:10:51.879,Pass,True,99.9,54.1,93.4,45.4,9,5,9,4,0.028552,0.035113,0.006560999999999997,0.006560999999999997,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.0627,,,,,,,,,,,,,dc4f2e5c-8486-41d0-a002-d54717a8f399,684,,"[92.5, 45.6]",69278,10,,,,2.8381329,,Right Foot,,,"[82.6, 48.7]",,Ground Pass,,10.374006,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,21,Barcelona,217,['a9a781a6-2ce9-43e7-a1cc-bc12db1aca5e'],53,,,,,,,,,,,,,,,,Barcelona,217,00:10:53.150,Pass,,92.5,45.6,82.6,48.7,9,4,8,4,0.035113,0.023851,-0.011261999999999998,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,2.2199,,,,,,,,,,,,,e34e61ba-abdc-4ed8-89f0-13602a150fd7,686,,"[82.6, 48.7]",69278,10,,,,-0.94354117,,Right Foot,,,"[105.0, 17.8]",,High Pass,,38.165035,,,,,David Villa Sánchez,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,21,Barcelona,217,['6fc41188-b3db-4725-a7ea-20d5eed31159'],54,,,,,,,,,,,,,,,,Barcelona,217,00:10:54.213,Pass,,82.6,48.7,105.0,17.8,8,4,10,1,0.023851,0.04067,0.016818999999999997,0.016818999999999997,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.7325,,,,,,,,,,,,,b3255ce2-b186-490e-a0b4-6115b94472c7,688,,"[105.2, 17.9]",69278,10,,,,-2.4073126,,Other,,,"[93.9, 7.7]",,Low Pass,,15.22268,,,,,Eric-Sylvain Bilal Abidal,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,21,Barcelona,217,['4fa2d701-3388-48c9-8a67-aafc13e0edba'],56,,,,,,,,,,,,,,,,Barcelona,217,00:10:56.433,Pass,,105.2,17.9,93.9,7.7,10,1,9,0,0.04067,0.027563,-0.013106999999999997,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.7521,,,,,,,,,,,,,23023601-2d04-4138-8fba-1142a38660b7,691,,"[94.9, 6.1]",69278,10,,,,-0.52807444,,Left Foot,,,"[100.9, 2.6]",,Ground Pass,,6.946222,,,,,David Villa Sánchez,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,21,Barcelona,217,['310239aa-ffa4-4001-9db4-63aecd979f07'],58,,,,,,,,,,,,,,,,Barcelona,217,00:10:58.776,Pass,,94.9,6.1,100.9,2.6,9,0,10,0,0.027563,0.034851,0.007287999999999999,0.007287999999999999,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.5507,,,,,,,,,,,,,f8db1ecc-6948-4820-9b04-3f2062bf7907,694,,"[96.3, 3.2]",69278,11,,,,1.735945,,Right Foot,,,"[94.3, 15.2]",,Ground Pass,,12.165525,,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,21,Barcelona,217,['130b152b-b739-4cff-8dc3-4b4570be35bf'],0,,,,,,,,,,,,,,,,Barcelona,217,00:11:00.418,Pass,,96.3,3.2,94.3,15.2,9,0,9,1,0.027563,0.029533,0.0019699999999999995,0.0019699999999999995,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.9937,,,,,,,,,,,,,0366ee2b-73a1-4994-90cc-7c13bcef8515,696,,"[94.3, 15.9]",69278,11,,,,-2.3779302,,Right Foot,,,"[89.6, 11.4]",,Ground Pass,,6.5069194,,,,,David Villa Sánchez,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,21,Barcelona,217,['d90cbaa2-7785-45c5-b1ea-35169edca63b'],0,,,,,,,,,,,,,,,,Barcelona,217,00:11:00.969,Pass,,94.3,15.9,89.6,11.4,9,1,8,1,0.029533,0.024015,-0.005517999999999999,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
