50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,1.251368,,,,,,,,,,,,,86a0d064-cdce-4ba7-b7eb-15f7e864dea9,1001,,,"[41.5, 5.0]",69299,24,,,,,-0.04647813,,Left Foot,,,,"[50.1, 4.6]",,Ground Pass,,8.609298,,,,Andrés Iniesta Luján,,,,,,1,From Corner,Eric-Sylvain Bilal Abidal,20177.0,,Left Back,43,Barcelona,217,"['03f909dc-7c48-440f-a6cf-4d5d2796a699', 'cc6ad222-a626-4ab0-baed-3654c21d6040']",9,,,,,,,,,,,,,,,,Barcelona,217,00:24:09.659,Pass,True,41.5,5.0,50.1,4.6,3,0,4,0,0.009777,0.011263,0.0014860000000000012,0.0014860000000000012,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.585261,,,,,,,,,,,,,5475035c-c7af-4ac2-b0b3-87c058e1abc5,1005,,,"[65.8, 80.0]",69299,24,,,,,-0.6893979,,,,,,"[73.2, 73.9]",,Low Pass,,9.590099,,,,Karim Benzema,,,,,Throw-in,1,From Throw In,Sergio Ramos García,5201.0,,Right Back,44,Real Madrid,220,['c6eb4b6c-611b-4951-a0c4-0ae22ec0629e'],18,,,,,,,,,,,,,,,,Real Madrid,220,00:24:18.101,Pass,,65.8,80.0,73.2,73.9,6,7,7,7,0.014736,0.017451,0.0027150000000000004,0.0027150000000000004,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.500068,,,,,,,,,,,,,379062d2-2cf5-4ce4-a025-e884360b5fb7,1010,,,"[49.9, 8.3]",69299,24,,,,,0.4048918,,Left Foot,,,,"[52.0, 9.2]",,Ground Pass,,2.2847319,,,,Andrés Iniesta Luján,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,,Center Defensive Midfield,45,Barcelona,217,['24dd5976-fad9-4de8-b5be-976e56ab0d99'],20,,,,,,,,,,,,,,,,Barcelona,217,00:24:20.274,Pass,,49.9,8.3,52.0,9.2,4,0,4,0,0.011263,0.011263,0.0,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.6327,,,,,,,,,,,,,d5db201d-9f28-4046-996c-b248cf08d4a6,1013,,,"[52.4, 10.0]",69299,24,,,,,0.60085535,,Right Foot,,,,"[61.3, 16.1]",,Ground Pass,,10.78981,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,,Left Center Midfield,45,Barcelona,217,['dce04d3e-1dd3-4ddb-b52a-a4254b7d2002'],21,,,,,,,,,,,,,,,,Barcelona,217,00:24:21.892,Pass,,52.4,10.0,61.3,16.1,5,0,5,1,0.012483,0.013845,0.0013620000000000004,0.0013620000000000004,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.422609,,,,,,,,,,,,,b1649246-4972-4aa0-bb77-4fa3f5c53dac,1017,,,"[60.2, 14.9]",69299,24,,,,,-0.9931204,,Left Foot,,,,"[69.0, 1.4]",,Ground Pass,,16.1149,,,,David Villa Sánchez,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,,Center Forward,45,Barcelona,217,"['58d96eb0-6d42-4b1f-bcf3-d472abd4e4aa', 'ccc1e9a6-8e8b-4ef2-ad08-38c48feeabad']",22,,,,,,,,,,,,,,,,Barcelona,217,00:24:22.884,Pass,True,60.2,14.9,69.0,1.4,5,1,6,0,0.013845,0.014736,0.0008910000000000012,0.0008910000000000012,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.918596,,,,,,,,,,,,,fa403295-0e49-4b9c-a608-4c6e1d815f7d,1025,,,"[42.5, 68.2]",69299,24,,,,,-1.0204104,,Right Foot,,,,"[45.2, 63.8]",,Ground Pass,,5.162364,,,,Xabier Alonso Olano,,,,,,1,Regular Play,Sergio Ramos García,5201.0,,Right Back,46,Real Madrid,220,['ca354be1-458c-4760-a9df-42469bda9aab'],26,,,,,,,,,,,,,,,,Real Madrid,220,00:24:26.823,Pass,,42.5,68.2,45.2,63.8,4,6,4,6,0.012147,0.012147,0.0,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.111143,,,,,,,,,,,,,502b7aa6-aba1-4f9f-8462-1e16500bb618,1028,,,"[63.5, 65.9]",69299,24,,,,,0.72120076,,Right Foot,,,,"[78.4, 79.0]",,Ground Pass,,19.839859,,,,Ángel Fabián Di María Hernández,,,,,,1,Regular Play,Xabier Alonso Olano,20133.0,,Left Defensive Midfield,46,Real Madrid,220,['bd16081f-71a7-4d97-b96c-60c02727784b'],32,,,,,,,,,,,,,,,,Real Madrid,220,00:24:32.062,Pass,,63.5,65.9,78.4,79.0,6,6,7,7,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.878063,,,,,,,,,,,,,9fe5cc18-49df-4e17-b6a2-8d54c0a41358,1032,,,"[42.6, 1.0]",69299,24,,,,,1.7082225,,,,,,"[41.3, 10.4]",,High Pass,,9.489468,,,,Lionel Andrés Messi Cuccittini,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,,Left Back,47,Barcelona,217,['a53958ce-08d1-4010-9ed1-d4945d9fb87f'],52,,,,,,,,,,,,,,,,Barcelona,217,00:24:52.669,Pass,,42.6,1.0,41.3,10.4,4,0,3,1,0.011263,0.010595,-0.0006680000000000002,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.919147,,,,,,,,,,,,,723efb38-80ce-4794-8b25-a6e153cc772d,1035,,,"[41.3, 10.4]",69299,24,,,,,-2.0047498,,Left Foot,,,,"[37.5, 2.2]",,Ground Pass,,9.037699,,,,Eric-Sylvain Bilal Abidal,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,,Center Forward,47,Barcelona,217,['f1cceec5-d711-4926-a78a-ee4fa10f35b6'],53,,,,,,,,,,,,,,,,Barcelona,217,00:24:53.613,Pass,,41.3,10.4,37.5,2.2,3,0,3,0,0.009777,0.009777,0.0,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.253556,,,,,,,,,,,,,489c6832-0b2d-403a-9b44-32b6b7359c18,1039,,,"[36.5, 2.2]",69299,24,,,,,1.9549657,,Left Foot,,,,"[34.6, 6.9]",,Ground Pass,,5.0695167,,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,,Left Back,47,Barcelona,217,['6748628a-15e8-4185-9199-d02383afc66e'],54,,,,,,,,,,,,,,,,Barcelona,217,00:24:54.850,Pass,,36.5,2.2,34.6,6.9,3,0,3,0,0.009777,0.009777,0.0,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
