ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,1.624892,,,,,,,,,,,,,6ef534cd-ed3f-45ed-b02e-ba2237e73aac,3739,,"[56.5, 19.1]",69306,85,,,,,1.2789458,,Right Foot,,,,"[63.5, 42.4]",,Ground Pass,,24.328789,,,,Thiago Alcântara do Nascimento,,,,,,,2,From Throw In,Bojan Krkíc Pérez,4913.0,Left Wing,153,Barcelona,217,['764d950b-84b2-454e-abcc-0fe793a3eb02'],23,,,,,,,,,,,,,,,,Barcelona,217,00:40:23.154,Pass,,56.5,19.1,63.5,42.4,5,1,6,4,0.013845,0.016895,0.0030500000000000006,0.0030500000000000006,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.7996,,,,,,,,,,,,,facffcc3-f07e-4bd4-ba4a-b5e2db5ecd9d,3742,,"[65.0, 43.4]",69306,85,,,,,0.0,,Right Foot,,,,"[73.2, 43.4]",,Ground Pass,,8.2,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,153,Barcelona,217,['e22fd8dd-6b95-4995-a3ca-14f8d858b7e5'],25,,,,,,,,,,,,,,,,Barcelona,217,00:40:25.605,Pass,,65.0,43.4,73.2,43.4,6,4,7,4,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.789012,,,,,,,,,,,,,28372e6f-7c61-41e1-9005-9ec5d7cba39a,3745,,"[73.2, 43.4]",69306,85,,,,,2.2924511,,Left Foot,,,,"[68.8, 48.4]",,Ground Pass,,6.6603303,,,,Thiago Alcântara do Nascimento,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,153,Barcelona,217,['3975578e-9904-49c7-868d-edaa950b64ae'],26,,,,,,,,,,,,,,,,Barcelona,217,00:40:26.434,Pass,,73.2,43.4,68.8,48.4,7,4,6,4,0.019971,0.016895,-0.003075999999999999,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,2.057452,,,,,,,,,,,,,5e8466e8-b16d-4a2b-8759-b69201e305d2,3748,,"[70.3, 51.0]",69306,85,,,,,1.3078016,,Right Foot,,,,"[75.2, 69.2]",,Ground Pass,,18.848078,,,,Daniel Alves da Silva,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,153,Barcelona,217,['f208040a-4e17-40da-aab3-0b1ac912a8e2'],28,,,,,,,,,,,,,,,,Barcelona,217,00:40:28.144,Pass,,70.3,51.0,75.2,69.2,6,5,7,6,0.016856,0.018703,0.0018470000000000014,0.0018470000000000014,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.17513,,,,,,,,,,,,,47270542-64a0-4e02-abc0-b0fc774194d5,3751,,"[76.2, 67.9]",69306,85,,,,,-1.8705724,,Right Foot,,,,"[72.8, 56.9]",,Ground Pass,,11.513471,,,,Thiago Alcântara do Nascimento,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,153,Barcelona,217,['2a68fe08-a3f4-4085-9609-c2378cd1e3f4'],30,,,,,,,,,,,,,,,,Barcelona,217,00:40:30.242,Pass,,76.2,67.9,72.8,56.9,7,6,7,5,0.018703,0.019351,0.0006479999999999993,0.0006479999999999993,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.219822,,,,,,,,,,,,,e9168eba-5591-4cca-a8b4-f93b538619a8,3754,,"[72.8, 56.3]",69306,85,,,,,-1.6308743,,Right Foot,,,,"[72.0, 43.0]",,Ground Pass,,13.3240385,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,153,Barcelona,217,['b540cb5e-448d-4bb4-8aee-8f1f81e3347c'],31,,,,,,,,,,,,,,,,Barcelona,217,00:40:31.856,Pass,,72.8,56.3,72.0,43.0,7,5,7,4,0.019351,0.019971,0.000619999999999999,0.000619999999999999,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.97628,,,,,,,,,,,,,5fa49438-c59c-4507-b67d-913962336d90,3757,,"[84.8, 31.2]",69306,85,,,,,-1.3873163,,Left Foot,,,,"[86.6, 21.5]",,Ground Pass,,9.865597,,,,Bojan Krkíc Pérez,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,153,Barcelona,217,['861188ed-8f7f-4751-a13e-8d8f6997089f'],35,,,,,,,,,,,,,,,,Barcelona,217,00:40:35.871,Pass,,84.8,31.2,86.6,21.5,8,3,8,2,0.023851,0.024122,0.0002710000000000004,0.0002710000000000004,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.62284,,,,,,,,,,,,,b6d959fe-80cb-4a1b-8b80-ded8e793bda7,3761,,"[92.1, 22.6]",69306,85,,,,,0.37298772,,Right Foot,,,,"[101.3, 26.2]",,Low Pass,,9.8792715,,Incomplete,,Thiago Alcântara do Nascimento,,,,Through Ball,True,,2,From Throw In,Bojan Krkíc Pérez,4913.0,Left Wing,153,Barcelona,217,"['670f6b7a-4efe-4de6-a37c-8ff5fe6ad7ce', 'f430eb3d-5585-4a79-8b4f-ff9d692d12ca']",39,,,,,,,,,,,,,,,,Barcelona,217,00:40:39.566,Pass,,92.1,22.6,101.3,26.2,9,2,10,2,0.028552,0.054911,0.026359,0.026359,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.193883,,,,,,,,,,,,,3dadd44c-61f0-4767-9335-8e8d249dbf5a,3765,,"[19.8, 51.8]",69306,85,,,,,-0.51834804,,Left Foot,,,,"[33.3, 44.1]",,Ground Pass,,15.541557,,,,Henok Goitom,,,,,,,2,Regular Play,Míchel Macedo Rocha Machado,6922.0,Right Back,154,Almería,403,['d7756a19-b80d-4981-b75d-2f7b753a6a56'],40,,,,,,,,,,,,,,,,Almería,403,00:40:40.866,Pass,,19.8,51.8,33.3,44.1,1,5,3,4,0.009777,0.011324,0.0015470000000000015,0.0015470000000000015,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.760509,,,,,,,,,,,,,28441530-b987-4340-a46a-d2cf46b06d02,3769,,"[34.9, 43.1]",69306,85,,,,,-2.728464,,Right Foot,,,,"[27.6, 39.9]",,Ground Pass,,7.970571,,,,Miguel Ángel García Pérez Roldán,,,,,,,2,Regular Play,Henok Goitom,26647.0,Left Center Forward,154,Almería,403,"['b0212193-6b60-40cc-93ef-3b9933dc2bde', 'f11afe65-e11f-4309-b361-8dbcd0a7f848']",42,,,,,,,,,,,,,,,,Almería,403,00:40:42.589,Pass,True,34.9,43.1,27.6,39.9,3,4,2,3,0.011324,0.010165,-0.0011590000000000003,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
