bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,2.534873,,,,,,,,,,,1d1c170f-b6bd-4f50-8af9-76d1f54b9b5f,3075,,"[72.8, 1.0]",69260,78,,True,,,2.3041582,,,,,,"[63.7, 11.1]",,Low Pass,,13.5948515,,,,Manuel Henrique Tavares Fernandes,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,191,Valencia,207,['0c9c0ca8-9dc8-4e03-80f8-184a89aacac7'],6,,,,,,,,,,,,,,,,Valencia,207,00:33:06.189,Pass,,72.8,1.0,63.7,11.1,7,0,6,1,0.017451,0.016118,-0.0013330000000000009,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.059613,,,,,,,,,,,ead41a4b-fbb9-47c2-97d5-0f15ed9901bf,3077,,"[63.7, 11.1]",69260,78,,,,,1.6455232,,Right Foot,,,,"[62.3, 29.8]",,Ground Pass,,18.752333,,,,David Albelda Aliqués,,,,,,,2,From Throw In,Manuel Henrique Tavares Fernandes,6350.0,Right Center Midfield,191,Valencia,207,['0b57a7d4-e47a-44f7-bed9-c07c28dcfa46'],9,,,,,,,,,,,,,,,,Valencia,207,00:33:09.152,Pass,,63.7,11.1,62.3,29.8,6,1,5,2,0.016118,0.014291,-0.0018270000000000005,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.014203,,,,,,,,,,,9309d3b6-431e-4632-bb33-ac8c61e94c72,3080,,"[66.3, 47.2]",69260,78,,,,,1.2456014,,Right Foot,,,,"[75.1, 73.3]",,Ground Pass,,27.543602,,,,Pablo Hernández Domínguez,,,,,,,2,From Throw In,David Albelda Aliqués,20128.0,Left Center Midfield,191,Valencia,207,['cb58905d-fd90-4832-bcb4-823b3ed842f7'],18,,,,,,,,,,,,,,,,Valencia,207,00:33:18.330,Pass,,66.3,47.2,75.1,73.3,6,4,7,7,0.016895,0.017451,0.0005560000000000009,0.0005560000000000009,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.758808,,,,,,,,,,,49a889df-be56-452f-9c63-604c653ebd7c,3089,,"[53.9, 2.2]",69260,78,,,,,1.1932662,,Right Foot,,,,"[56.2, 8.0]",,Ground Pass,,6.239391,,,,David Villa Sánchez,,,,,,,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,192,Barcelona,217,['40484fcc-8888-4ebe-b7fc-b844c964474c'],25,,,,,,,,,,,,,,,,Barcelona,217,00:33:25.543,Pass,,53.9,2.2,56.2,8.0,5,0,5,0,0.012483,0.012483,0.0,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.90363,,,,,,,,,,,f63c06ba-1693-4150-80f5-47b24571d5fe,3093,,"[62.4, 9.4]",69260,78,,,,,2.1427145,,Right Foot,,,,"[56.8, 18.1]",,Ground Pass,,10.346497,,,,Sergio Busquets i Burgos,,,,,,,2,Regular Play,David Villa Sánchez,12737.0,Center Forward,192,Barcelona,217,['83249fe0-a2d9-4598-af87-c4fe39b20ed4'],27,,,,,,,,,,,,,,,,Barcelona,217,00:33:27.125,Pass,,62.4,9.4,56.8,18.1,6,0,5,1,0.014736,0.013845,-0.0008910000000000012,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.112883,,,,,,,,,,,ef46ca4d-b676-44a5-8a33-f62795c673a2,3097,,"[55.3, 16.4]",69260,78,,,,,-0.070396304,,Right Foot,,,,"[70.9, 15.3]",,Ground Pass,,15.638734,,Incomplete,,David Villa Sánchez,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,192,Barcelona,217,"['043a9af8-1d00-4912-bd7a-989d67a41373', 'c22ff061-be5d-40bd-b7c8-48ba26141ef5']",28,,,,,,,,,,,,,,,,Barcelona,217,00:33:28.148,Pass,,55.3,16.4,70.9,15.3,5,1,6,1,0.013845,0.016118,0.0022730000000000007,0.0022730000000000007,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,2.131138,,,,,,,,,,,7aa7e0f6-1566-4a8b-b894-0b53cc995805,3101,,"[67.4, 47.1]",69260,78,,,,,-2.74541,,Right Foot,,,,"[52.1, 40.7]",,Ground Pass,,16.584631,,,,Ricardo Miguel Moreira da Costa,,,,,,,2,Regular Play,David Navarro Pedrós,26012.0,Right Center Back,193,Valencia,207,['44c0a0f0-9caf-4b8c-8a5c-237934405acf'],32,,,,,,,,,,,,,,,,Valencia,207,00:33:32.307,Pass,,67.4,47.1,52.1,40.7,6,4,4,4,0.016895,0.012626,-0.004269,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.16963,,,,,,,,,,,2c880092-e7f9-4cf0-91a7-fb00e000bf2f,3104,,"[53.4, 36.3]",69260,78,,,,,1.0659349,,Right Foot,,,,"[59.7, 47.7]",,Ground Pass,,13.024976,,,,Manuel Henrique Tavares Fernandes,,,,,,,2,Regular Play,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,193,Valencia,207,['c33d4260-f8d6-4018-9558-fa70e198b1ce'],35,,,,,,,,,,,,,,,,Valencia,207,00:33:35.400,Pass,,53.4,36.3,59.7,47.7,5,3,5,4,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.943701,,,,,,,,,,,53a58ac9-f512-4428-a969-044cd1889d29,3107,,"[58.3, 48.1]",69260,78,,,,,0.64715517,,Right Foot,,,,"[71.4, 58.0]",,Ground Pass,,16.420109,,,,Juan Manuel Mata García,,,,,,,2,Regular Play,Manuel Henrique Tavares Fernandes,6350.0,Right Center Midfield,193,Valencia,207,['c8f15d55-f84c-4ed7-a594-6f774bae5e2a'],37,,,,,,,,,,,,,,,,Valencia,207,00:33:37.564,Pass,,58.3,48.1,71.4,58.0,5,4,6,5,0.014846,0.016856,0.0020099999999999996,0.0020099999999999996,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.873654,,,,,,,,,,,bc729c24-533c-49e5-9ad9-46d41dd29086,3110,,"[71.6, 62.9]",69260,78,,,,,0.88543487,,Left Foot,,,,"[83.7, 77.7]",,Ground Pass,,19.116747,,,,Pablo Hernández Domínguez,,,,,,,2,Regular Play,Juan Manuel Mata García,3294.0,Center Attacking Midfield,193,Valencia,207,['e549e0aa-5920-4e06-ad12-9672d3eec87e'],39,,,,,,,,,,,,,,,,Valencia,207,00:33:39.632,Pass,,71.6,62.9,83.7,77.7,7,6,8,7,0.018703,0.021221,0.0025179999999999994,0.0025179999999999994,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
