bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,,,0.4065,,,,,,,,,,,,,166d63ef-6026-478e-a96d-4746b2782f78,172,,"[73.3, 24.2]",69289,2,,,,,-0.039978687,,Left Foot,,,,"[80.8, 23.9]",,Ground Pass,,7.5059977,,Incomplete,,Andrés Iniesta Luján,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,7,Barcelona,217,"['6126f3b1-0177-4959-a4d6-ddd7b93229bc', 'fb945655-6800-452b-8242-dbe664aae5b9']",51,,,,,,,,,,,,,,Barcelona,217,00:02:51.388,Pass,,73.3,24.2,80.8,23.9,7,2,7,2,0.019351,0.019351,0.0,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.046,,,,,,,,,,,,,5d6fbea0-4141-4d44-a8f6-7c8ee7d202ef,176,,"[38.3, 55.3]",69289,2,,,,,0.42040536,,Left Foot,,,,"[46.8, 59.1]",,Ground Pass,,9.310746,,,,Frédéric Oumar Kanouté,,,,,,1,Regular Play,Renato Dirnei Florencio,26015.0,Right Center Midfield,8,Sevilla,213,['09de81c8-59ba-468d-b6ff-342a39f7eca8'],52,,,,,,,,,,,,,,Sevilla,213,00:02:52.864,Pass,,38.3,55.3,46.8,59.1,3,5,4,5,0.011105,0.012692,0.0015869999999999999,0.0015869999999999999,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.1984,,,,,,,,,,,,,b1b6b444-622b-4ea9-9340-929ba9289231,179,,"[46.6, 59.4]",69289,2,,,,,-1.4288993,,Right Foot,,,,"[47.1, 55.9]",,Ground Pass,,3.535534,,Incomplete,,Luís Fabiano Clemente,,,,,,1,Regular Play,Frédéric Oumar Kanouté,25960.0,Center Attacking Midfield,8,Sevilla,213,"['1b3a9ad1-ba65-465f-b968-e277e8e70433', 'f097d1d9-0227-4272-a359-c58df6978a89']",53,,,,,,,,,,,,,,Sevilla,213,00:02:53.910,Pass,,46.6,59.4,47.1,55.9,4,5,4,5,0.012692,0.012692,0.0,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.79339,,,,,,,,,,,,,2f073fd6-fa1f-4ab4-8da6-9c87a5d3212d,187,,"[38.4, 62.7]",69289,2,,,,,0.84046054,,Right Foot,,,,"[44.4, 69.4]",,Ground Pass,,8.993887,,Incomplete,,Diego Perotti,,,,,Recovery,1,Regular Play,José Martín Cáceres Silva,5248.0,Right Center Back,8,Sevilla,213,"['8e762a06-26df-4bbb-a401-61c7ac94f926', 'b192e49f-4598-4678-879a-e63c57323fff']",57,,,,,,,,,,,,,,Sevilla,213,00:02:57.519,Pass,,38.4,62.7,44.4,69.4,3,6,4,6,0.010595,0.012147,0.0015519999999999996,0.0015519999999999996,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.081234,,,,,,,,,,,,,c15535e0-07f1-44ff-a667-8bea7c60960d,191,,"[75.7, 17.1]",69289,3,,,,,1.4034271,,Right Foot,,,,"[79.4, 39.0]",,Ground Pass,,22.210358,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,9,Barcelona,217,['dc31590f-5cb6-41c5-9194-2033b2917b7f'],1,,,,,,,,,,,,,,Barcelona,217,00:03:01.223,Pass,,75.7,17.1,79.4,39.0,7,1,7,3,0.018703,0.019971,0.0012679999999999983,0.0012679999999999983,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.8146,,,,,,,,,,,,,61b52024-f781-431b-9dde-6386d26e5bf8,194,,"[81.8, 37.6]",69289,3,,,,,-0.8184987,,Right Foot,,,,"[89.1, 29.8]",,Ground Pass,,10.683165,,Incomplete,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,"['7380177d-1f54-46bd-8d6f-61d695e05e6f', 'f0e4f3fd-7468-4353-b1d3-be6b1f1dbccc']",4,,,,,,,,,,,,,,Barcelona,217,00:03:04.526,Pass,,81.8,37.6,89.1,29.8,8,3,8,2,0.023851,0.024122,0.0002710000000000004,0.0002710000000000004,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,2.204571,,,,,,,,,,,,,fdd095d9-a204-4d6a-8302-666969e6595c,200,,"[87.1, 33.6]",69289,3,,,,,-1.3575917,,Right Foot,,,,"[93.4, 4.5]",,Low Pass,,29.774149,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,['fb02a098-5cfc-4a01-a7db-5893f61ba888'],7,,,,,,,,,,,,,,Barcelona,217,00:03:07.759,Pass,,87.1,33.6,93.4,4.5,8,3,9,0,0.023851,0.027563,0.003712,0.003712,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.077866,,,,,,,,,,,,,cadcd175-0977-4019-a3ba-51a6c52009e6,204,,"[91.6, 6.6]",69289,3,,,,,2.5062215,,Right Foot,,,,"[81.7, 13.9]",,Ground Pass,,12.300406,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,9,Barcelona,217,['a97475fa-8d07-438a-b3ac-8cf5e7055c9e'],11,,,,,,,,,,,,,,Barcelona,217,00:03:11.941,Pass,,91.6,6.6,81.7,13.9,9,0,8,1,0.027563,0.024015,-0.003547999999999999,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.8526,,,,,,,,,,,,,d7638a93-7693-4ba1-9bb9-54288edcca84,207,,"[81.7, 14.8]",69289,3,,,,,0.79585075,,Right Foot,,,,"[95.9, 29.3]",,Ground Pass,,20.295073,,,,David Villa Sánchez,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,9,Barcelona,217,['1f808230-de7f-42ee-81ec-b9d76bdc8799'],13,,,,,,,,,,,,,,Barcelona,217,00:03:13.982,Pass,,81.7,14.8,95.9,29.3,8,1,9,2,0.024015,0.028552,0.004536999999999999,0.004536999999999999,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.872,,,,,,,,,,,,,1633e88e-41ae-4566-a299-a29b9df02531,210,,"[95.9, 29.3]",69289,3,,,,,2.097275,,Right Foot,,,,"[89.1, 41.0]",,Ground Pass,,13.532554,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Center Forward,9,Barcelona,217,['1ceaef27-e92d-4bb8-af24-1654306cbde0'],14,,,,,,,,,,,,,,Barcelona,217,00:03:14.914,Pass,,95.9,29.3,89.1,41.0,9,2,8,4,0.028552,0.023851,-0.004701,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
