bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.666296,,,,,,,,,,,,,c252c3f9-3552-4a51-8d88-36108086601f,863,,,"[64.0, 54.1]",69274,16,,,,,-0.32175055,,Right Foot,,,,"[69.4, 52.3]",,Ground Pass,,5.6920996,Unknown,,David Villa Sánchez,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,47,Barcelona,217,['bde4e704-32de-4e00-804f-f1af8d47bf5b'],52,,,,,,,,,,,,,,,,Barcelona,217,00:16:52.021,Pass,,64.0,54.1,69.4,52.3,6,5,6,5,0.016856,0.016856,0.0,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.297023,,,,,,,,,,,,,1af9cda4-50bd-40b7-97ae-12cfe39e9563,877,,,"[65.4, 62.8]",69274,17,,,,,-0.17219082,,Right Foot,,,,"[88.4, 58.8]",,High Pass,,23.345236,Incomplete,,David Villa Sánchez,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,47,Barcelona,217,"['30290c18-eb39-4ff9-ae8d-1b5e07b08467', 'c664b798-dec6-4088-85cb-14567a21e012', 'c8248821-5ce1-4a21-84eb-7f027e8463ab']",2,,,,,,,,,,,,,,,,Barcelona,217,00:17:02.526,Pass,True,65.4,62.8,88.4,58.8,6,6,8,5,0.016118,0.024122,0.008004,0.008004,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,2.645405,,,,,,,,,,,,,e602ff8b-6700-4abc-8206-a05b2d97b3ef,882,,,"[94.2, 39.6]",69274,17,,,,,-0.65073425,,Left Foot,,,,"[111.8, 26.2]",,Ground Pass,,22.120579,Incomplete,,Adriano Correia Claro,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,47,Barcelona,217,"['3210e5c9-2c36-4a56-930d-3bf8aad4fed6', '494a3a55-7e0b-4273-a1ba-f32788f65c45']",8,,,,,,,,,,,,,,,,Barcelona,217,00:17:08.377,Pass,,94.2,39.6,111.8,26.2,9,3,11,2,0.035113,0.064426,0.029313,0.029313,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.174301,,,,,,,,,,,,,16142e62-9238-49b0-afbe-bd15c2231365,885,,,"[120.0, 1.0]",69274,17,,,,,1.7170793,,Right Foot,,,,"[115.3, 32.9]",,Low Pass,True,32.24438,,,Eric-Sylvain Bilal Abidal,,,Inswinging,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,48,Barcelona,217,['ce486f00-1acc-4376-af8b-7c91b4b32f9e'],43,,,,,,,,,,,,,,,,Barcelona,217,00:17:43.457,Pass,,120.0,1.0,115.3,32.9,11,0,11,3,0.037926,0.257454,0.219528,0.219528,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.445274,,,,,,,,,,,,,16b6348b-7534-4e06-9c4f-0334b49d1c55,888,,,"[115.3, 32.9]",69274,17,,,,,1.3825748,,Left Foot,,,,"[116.9, 41.3]",,High Pass,,8.5510235,Incomplete,,,,,,,,1,From Corner,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,48,Barcelona,217,['a62d3d0b-8fde-4673-80b0-81c17cd9a264'],44,,,,,,,,,,,,,,,,Barcelona,217,00:17:44.668,Pass,,115.3,32.9,116.9,41.3,11,3,11,4,0.257454,0.257454,0.0,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.429442,,,,,,,,,,,,,0d9e81c3-1d1d-4cf8-ade0-0f25b3dd6636,892,,,"[9.9, 5.5]",69274,17,,,,,0.0,,Left Foot,,,,"[13.7, 5.5]",,High Pass,,3.8,Incomplete,,,,,,,,1,From Corner,Jordi Alba Ramos,5211.0,Left Wing,48,Barcelona,217,['9ba8bf8c-a16f-4c82-b0fd-2a5f49f435bf'],52,,,,,,,,,,,,,,,,Valencia,207,00:17:52.590,Pass,,9.9,5.5,13.7,5.5,0,0,1,0,0.006383,0.007796,0.0014130000000000002,0.0014130000000000002,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,2.174152,,,,,,,,,,,,,525bb1e7-8422-4a47-94c8-0dc4977fbf1d,894,,,"[16.7, 1.0]",69274,18,,,,,0.19281264,,,,,,"[37.7, 5.1]",,High Pass,,21.396496,,,Jérémy Mathieu,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Wing,49,Valencia,207,['21404b9c-f638-4ea5-b846-b9fc3dee6ccc'],14,,,,,,,,,,,,,,,,Valencia,207,00:18:14.886,Pass,,16.7,1.0,37.7,5.1,1,0,3,0,0.007796,0.009777,0.0019809999999999993,0.0019809999999999993,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,2.048054,,,,,,,,,,,,,bc695f53-66ac-4646-bec8-3673b37df444,897,,,"[37.7, 5.1]",69274,18,,,,True,-0.30331945,,,,,,"[50.8, 1.0]",,High Pass,,13.726617,Out,,,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Back,49,Valencia,207,['60d8ce04-149f-4d0c-9163-c016d16abe7b'],17,,,,,,,,,,,,,,,,Valencia,207,00:18:17.060,Pass,True,37.7,5.1,50.8,1.0,3,0,5,0,0.009777,0.012483,0.002706,0.002706,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,2.711181,,,,,,,,,,,,,cca61ca0-f742-4741-88a7-8f7167faa1cc,898,,,"[68.9, 80.0]",69274,18,,True,,,-0.75092906,,,,,,"[83.9, 66.0]",,High Pass,,20.518284,,,Xavier Hernández Creus,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing Back,50,Barcelona,217,['0ebb0e45-34e4-4f30-a437-68e9a9a0def0'],25,,,,,,,,,,,,,,,,Barcelona,217,00:18:25.319,Pass,,68.9,80.0,83.9,66.0,6,7,8,6,0.014736,0.024015,0.009279,0.009279,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,f4db77af-c055-4b74-9321-c2d348723b42,900,,,"[83.8, 66.1]",69274,18,,,,,-1.6836295,,Left Foot,,,,"[79.8, 30.8]",,High Pass,,35.525906,,,Adriano Correia Claro,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,50,Barcelona,217,['80dc9dec-9bf2-4ce1-97be-e4516ea13863'],28,,,,,,,,,,,,,,,,Barcelona,217,00:18:28.000,Pass,,83.8,66.1,79.8,30.8,8,6,7,3,0.024015,0.019971,-0.0040440000000000025,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
